NOBILIS,NOMBRE,SEXO*,NIVEL,EMERITO,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ESTADO,,,,,,,,,,,
DR.,"MORENO DE ALBA,JOSE GUADALUPE",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES FILOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"PASCUAL BUXO,JOSE",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES BIBLIOGRAFICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"VERMA JAISWAL,SURENDRA PAL",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE INVESTIGACION EN ENERGIA,MORELOS,,,,,,,,,,,
DR.,"ALONSO SANCHEZ,JORGE",H,3,E,CENTRO DE INVESTIGACION Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,UNIDAD OCCIDENTE,JALISCO,,,,,,,,,,,
DRA.,"AZAOLA GARRIDO,ELENA",M,3,,CENTRO DE INVESTIGACION Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,AREA IV ESTADO ORGANIZACION POLITICA SOCIAL Y ESTRUCTURA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"RAMON ROMERO,FIDEL ALBERTO",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE MEDICINA,DISTRITO FEDERAL,,,,,,,,,,,
BIOL.,"CALDERON DIAZ BARRIGA,GRACIELA",M,3,E,"INSTITUTO DE ECOLOGIA, A.C.",CENTRO REGIONAL DEL BAJIO,MICHOACAN,,,,,,,,,,,
DR.,"RZEDOWSKI ROTTER,JERZY",H,3,E,"INSTITUTO DE ECOLOGIA, A.C.",CENTRO REGIONAL DEL BAJIO,MICHOACAN,,,,,,,,,,,
DR.,"PEREZ ANGON,MIGUEL ANGEL",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE FISICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MEDINA NOYOLA,MAGDALENO",H,3,,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,INSTITUTO DE FISICA,SAN LUIS POTOSI,,,,,,,,,,,
DR.,"MORAN LOPEZ,JOSE LUIS",H,3,,"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",DEPTO. DE MATERIALES AVANZADOS PARA LA TECNOLOGIA MODERNA,SAN LUIS POTOSI,,,,,,,,,,,
